t,ax,ay,az,gx,gy,gz
6352,-0.59,-0.21,9.90,-0.05,0.00,-0.01
6368,-0.58,-0.79,9.85,-0.00,-0.03,0.01
6383,-0.39,-0.33,10.37,-0.12,0.03,-0.02
6400,-0.06,-0.39,9.58,-0.04,0.01,-0.04
6415,-0.32,-0.20,9.83,-0.00,-0.02,-0.02
6430,-0.20,-0.14,9.55,-0.05,0.00,0.02
6446,-0.38,-0.09,9.87,-0.10,0.03,0.05
6461,-0.50,-0.22,9.89,-0.12,0.05,0.04
6476,-0.86,-0.27,9.87,-0.09,0.03,0.02
6492,-1.22,-0.20,9.77,-0.05,0.00,-0.01
6508,-1.54,-0.19,9.88,-0.02,-0.02,-0.02
6523,-1.28,-0.19,9.65,-0.02,-0.02,-0.00
6539,-1.05,-0.22,9.79,-0.04,-0.01,0.00
6554,-0.18,-0.23,9.78,-0.05,0.00,-0.00
6569,-0.11,-0.30,9.83,-0.05,0.00,-0.00
6585,-0.09,-0.29,9.80,-0.05,0.00,-0.00
6600,-0.07,-0.27,9.78,-0.05,0.00,-0.00
6616,-0.11,-0.29,9.78,-0.05,-0.00,-0.01
6631,0.05,-0.29,9.82,-0.04,-0.01,-0.00
6647,-0.04,-0.29,9.83,-0.04,-0.00,-0.00
6663,-0.03,-0.30,9.78,-0.05,0.00,-0.00
6678,-0.04,-0.28,9.79,-0.05,-0.00,-0.00
6693,-0.03,-0.29,9.80,-0.04,-0.00,0.00
6709,-0.03,-0.29,9.79,-0.05,-0.00,0.00
6724,-0.07,-0.29,9.78,-0.05,0.00,0.00
6739,-0.07,-0.30,9.79,-0.05,-0.00,0.00
6755,-0.06,-0.30,9.77,-0.05,0.00,-0.00
6770,-0.10,-0.28,9.80,-0.05,-0.00,-0.00
6786,-0.12,-0.29,9.80,-0.05,-0.00,-0.00
6802,-0.10,-0.28,9.82,-0.05,-0.00,0.00
6817,-0.10,-0.29,9.80,-0.05,0.00,-0.00
6833,-0.11,-0.28,9.79,-0.05,0.00,0.00
6848,-0.11,-0.26,9.81,-0.05,0.00,0.00
6863,-0.06,-0.27,9.76,-0.05,0.00,0.00
6879,-0.06,-0.27,9.83,-0.05,-0.00,0.00
6894,-0.05,-0.29,9.79,-0.05,-0.00,0.00
6909,-0.05,-0.30,9.80,-0.05,-0.00,0.00
6925,-0.05,-0.29,9.78,-0.05,-0.00,0.00
6941,-0.06,-0.30,9.80,-0.05,-0.00,0.00
6957,-0.05,-0.31,9.81,-0.05,-0.00,0.00
6972,-0.07,-0.30,9.81,-0.05,-0.00,0.00
6987,-0.06,-0.27,9.83,-0.05,-0.00,0.00
7003,-0.06,-0.25,9.79,-0.05,-0.00,0.00
7018,-0.06,-0.26,9.79,-0.05,0.00,0.00
7033,-0.09,-0.26,9.81,-0.05,-0.00,0.00
7049,-0.11,-0.31,9.83,-0.05,-0.00,0.00
7064,-0.11,-0.31,9.82,-0.05,-0.00,0.00
7080,-0.08,-0.31,9.81,-0.05,0.00,0.00
7096,-0.11,-0.30,9.80,-0.05,-0.00,0.00
7111,-0.10,-0.30,9.80,-0.05,-0.00,0.00
7127,-0.10,-0.29,9.79,-0.05,-0.00,-0.00
7142,-0.10,-0.29,9.80,-0.05,-0.00,-0.00
7157,-0.09,-0.30,9.78,-0.05,-0.00,-0.00
7173,-0.07,-0.27,9.79,-0.05,-0.00,-0.00
7188,-0.06,-0.28,9.81,-0.05,-0.00,0.00
7203,-0.06,-0.26,9.80,-0.05,-0.00,0.00
7220,-0.03,-0.25,9.77,-0.05,-0.00,0.00
7235,-0.03,-0.27,9.76,-0.05,0.00,0.00
7250,-0.06,-0.29,9.78,-0.05,-0.00,-0.00
7266,-0.06,-0.29,9.81,-0.05,-0.00,0.00
7281,-0.07,-0.28,9.82,-0.05,-0.00,-0.00
7297,-0.08,-0.31,9.80,-0.05,-0.00,-0.00
7312,-0.08,-0.31,9.80,-0.05,-0.00,0.00
7327,-0.10,-0.29,9.79,-0.05,-0.00,0.00
7343,-0.10,-0.26,9.77,-0.05,-0.00,-0.00
7359,-0.10,-0.26,9.78,-0.05,-0.00,-0.00
